name,category,address,open_website,phone_number,description,open_hours,open_hours_updated,reviews_count,rating,main_image,reviews,url,lat,lon,place_id,country,price_range,services_provided,hotel_amenities,hotel_star_ratings,category_search_input
"Upper Freehold Municipal Building","City government office","314 County Rd 539, Cream Ridge, NJ 08514","http://uftnj.com/","(609) 758-7738","","{""Friday"":""Closed"",""Monday"":""8:30 AM–4:15 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8:30 AM–4:15 PM"",""Tuesday"":""8:30 AM–4:15 PM"",""Wednesday"":""8:30 AM–4:15 PM""}","Closed ⋅ Opens 8:30 AM",1,4,"","https://search.google.com/local/reviews?placeid=ChIJoRK0hpJmwYkRuWd6-NmJN8g&q=Service+establishment,+08514,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Upper%20Freehold%20Municipal%20Building/data=!4m7!3m6!1s0x89c1669286b412a1:0xc83789d9f87a67b9!8m2!3d40.1232681!4d-74.5213394!16s/g/11ggt0_pc6!19sChIJoRK0hpJmwYkRuWd6-NmJN8g?authuser=0&hl=en&rclk=1",40.1232681,-74.5213394,"ChIJoRK0hpJmwYkRuWd6-NmJN8g","US","","null","null","",""
"Sexy Nails Salon","Nail salon","74 Common St, Lawrence, MA 01840","","(978) 683-4685","","{""Friday"":""10 AM–7 PM"",""Monday"":""10 AM–7 PM"",""Saturday"":""10 AM–7 PM"",""Sunday"":""Closed"",""Thursday"":""10 AM–7 PM"",""Tuesday"":""10 AM–7 PM"",""Wednesday"":""10 AM–7 PM""}","Closed ⋅ Opens 10 AM Mon",70,4,"https://lh5.googleusercontent.com/p/AF1QipM5ST4gghTy1PvUbZxQLRFobOw7AIyx2cEBYV3C=w80-h142-k-no","https://search.google.com/local/reviews?placeid=ChIJDy35a6gH44kR_Vw7Bv5y6B0&q=Beauty+salon,+01843,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Sexy%20Nails%20Salon/data=!4m7!3m6!1s0x89e307a86bf92d0f:0x1de872fe063b5cfd!8m2!3d42.7083862!4d-71.15552579999999!16s/g/113df_frp!19sChIJDy35a6gH44kR_Vw7Bv5y6B0?authuser=0&hl=en&rclk=1",42.7083862,-71.1555258,"ChIJDy35a6gH44kR_Vw7Bv5y6B0","US","","null","null","",""
"ReGenesis Inspections","Service establishment","","http://www.regenesisinspections.com/","(479) 567-0373","","{""Friday"":""8 AM–8 PM"",""Monday"":""8 AM–8 PM"",""Saturday"":""8 AM–8 PM"",""Sunday"":""Closed"",""Thursday"":""8 AM–8 PM"",""Tuesday"":""8 AM–8 PM"",""Wednesday"":""8 AM–8 PM""}","Opens soon ⋅ 8 AM",2,5,"https://lh5.googleusercontent.com/p/AF1QipMCK3XGkxGtIU-1s896BCqZBCuAhNqZlonPQ9qA=w92-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJsf7CgV_G7SwRXZni8cl6bUk&q=Home+inspector,+72801,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/ReGenesis%20Inspections/data=!4m7!3m6!1s0x2cedc65f81c2feb1:0x496d7ac9f1e2995d!8m2!3d35.2631052!4d-93.12170309999999!16s/g/11rrqlfgb0!19sChIJsf7CgV_G7SwRXZni8cl6bUk?authuser=0&hl=en&rclk=1",35.2631052,-93.1217031,"ChIJsf7CgV_G7SwRXZni8cl6bUk","","","null","null","",""
"Broadway Motors","Auto repair shop","1030 W Broadway Ave, Forrest City, AR 72335","","+18706333391","","""{\""Friday\"":\""8AM to 5PM\"",\""Monday (Memorial Day)\"":\""8AM to 5PM\"",\""Saturday\"":\""Closed\"",\""Sunday\"":\""Closed\"",\""Thursday\"":\""8AM to 5PM\"",\""Tuesday\"":\""8AM to 5PM\"",\""Wednesday\"":\""8AM to 5PM\""}""","",41,4.6,"https://lh5.googleusercontent.com/p/AF1QipO5kNggk28dG_EkJauq-EiV5TdTMJdN8zTXA1oa=w408-h306-k-no","[{""date"":null,""id"":""ChdDSUhNMG9nS0VJQ0FnSURtLU4tTjJRRRAB"",""name"":""Leydi Cardoso"",""text"":null},{""date"":null,""id"":""ChZDSUhNMG9nS0VJQ0FnSUQyeXBpak5REAE"",""name"":""Tayler Schroeder"",""text"":null},{""date"":null,""id"":""ChdDSUhNMG9nS0VJQ0FnSUMycmVtZ2x3RRAB"",""name"":""Billy Lacomb"",""text"":null}]","https://www.google.com/maps/place/Broadway+Motors/data=!4m6!3m5!1s0x87d4ee4f0669c4c5:0x8743dcd6d2f2c056!8m2!3d35.0069885!4d-90.7998733!16s%2Fg%2F1tf60tzf",35.0069885,-90.7998733,"ChIJxcRpBk_u1IcRVsDy0tbcQ4c","US","","null","null","",""
"904 Luxury Esthetic","Beauty salon","4465 Hwy 17 Suite #128, Fleming Island, FL 32003","","(904) 788-3189","","{""Friday"":""9 AM–3 PM"",""Monday"":""9 AM–5 PM"",""Saturday"":""9 AM–3 PM"",""Sunday"":""Closed"",""Thursday"":""9 AM–5 PM"",""Tuesday"":""9 AM–5 PM"",""Wednesday"":""9 AM–5 PM""}","Open ⋅ Closes 5 PM",1,5,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=wc1y6EZJa9z94pR4LVwIIw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=91.54162&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJN0JSdh3F5YgRnh6dZKPBiRE&q=Beauty+Salon,+32050,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/904%20Luxury%20Esthetic/data=!4m7!3m6!1s0x88e5c51d76524237:0x1189c1a3649d1e9e!8m2!3d30.116005299999998!4d-81.7040293!16s/g/11t0711s6q!19sChIJN0JSdh3F5YgRnh6dZKPBiRE?authuser=0&hl=en&rclk=1",30.1160053,-81.7040293,"ChIJN0JSdh3F5YgRnh6dZKPBiRE","US","","null","null","",""
"Sally Beauty","Barber supply store","301 30th Ave W, Pampa, TX 79065","https://stores.sallybeauty.com/tx/pampa/beauty-supply-pampa-tx-1780.html?showMap=true&horizontalView=true&lat=35.571147&long=-100.968082_utm_source=GMBlisting&utm_medium=organic","(806) 669-5976","Cosmetics chain offering brand-name beauty products & supplies, including salon equipment.","{""Friday"":""10 AM–7 PM"",""Monday"":""10 AM–7 PM"",""Saturday"":""10 AM–7 PM"",""Sunday"":""11 AM–6 PM"",""Thursday"":""10 AM–7 PM"",""Tuesday"":""10 AM–6 PM"",""Wednesday"":""10 AM–7 PM""}","Closed ⋅ Opens 10 AM",16,4.3,"https://lh5.googleusercontent.com/p/AF1QipMWxXgvVaGfTBceMSWgOkDMORq9tpz8pHrWBJSP=w80-h106-k-no","https://search.google.com/local/reviews?placeid=ChIJE4EcNBdIB4cRryMdtYh8lkw&q=Beauty+supply+store,+79052,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Sally%20Beauty/data=!4m7!3m6!1s0x87074817341c8113:0x4c967c88b51d23af!8m2!3d35.5712432!4d-100.9681243!16s/g/1tgfqkzj!19sChIJE4EcNBdIB4cRryMdtYh8lkw?authuser=0&hl=en&rclk=1",35.5712432,-100.9681243,"ChIJE4EcNBdIB4cRryMdtYh8lkw","US","","null","null","",""
"Wheeler, Inc.","Electrician","3868 Dickerson Pike Suite 200, Nashville, TN 37207","http://www.wheelerincorporated.com/","(615) 860-5411","","{""Friday"":""8 AM–4:30 PM"",""Monday"":""8 AM–4:30 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–4:30 PM"",""Tuesday"":""Closed"",""Wednesday"":""8 AM–4:30 PM""}","Open ⋅ Closes 4:30 PM",49,4.9,"https://lh5.googleusercontent.com/p/AF1QipPcHT8nLF-fTt3FMBK2kziONqA0XKCmg77d6wgP=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJy0zzqt5cZIgRU6RQLVV_Rk0&q=Air+conditioning+contractor,+37218,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Wheeler,%20Inc./data=!4m7!3m6!1s0x88645cdeaaf34ccb:0x4d467f552d50a453!8m2!3d36.267962!4d-86.7568593!16s/g/1v5_b4xm!19sChIJy0zzqt5cZIgRU6RQLVV_Rk0?authuser=0&hl=en&rclk=1",36.267962,-86.7568593,"ChIJy0zzqt5cZIgRU6RQLVV_Rk0","US","","null","null","",""
"Westerville Close To Home Center at 275 W. Schrock Rd.","Medical clinic","275 W Schrock Rd, Westerville, OH 43081","https://www.nationwidechildrens.org/locations/close-to-home-locations/westerville-all-locations/westerville-at-275-w-schrock-rd","(614) 355-8080","","{""Friday"":""8 AM–5 PM"",""Monday"":""8 AM–4 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""8 AM–4 PM"",""Tuesday"":""8 AM–4 PM"",""Wednesday"":""8 AM–4 PM""}","Closed ⋅ Opens 8 AM Mon",2,5,"https://lh5.googleusercontent.com/p/AF1QipNt8p6ZpDGxa2suPC5y10yx8xpDZ98V75RJXKBm=w137-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJe7gFPjz1OIgRpgyVvuGqsGk&q=Service+establishment,+43081,+United+States&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Westerville%20Close%20To%20Home%20Center%20at%20275%20W.%20Schrock%20Rd./data=!4m7!3m6!1s0x8838f53c3e05b87b:0x69b0aae1be950ca6!8m2!3d40.109512099999996!4d-82.9350809!16s/g/1hhk5dfq4!19sChIJe7gFPjz1OIgRpgyVvuGqsGk?authuser=0&hl=en&rclk=1",40.1095121,-82.9350809,"ChIJe7gFPjz1OIgRpgyVvuGqsGk","US","","null","null","",""
"Farmers Insurance - John Paris","Auto insurance agency","7105 W 3500 S, West Valley City, UT 84128","https://agents.farmers.com/ut/west-valley/john-paris?SourceID=AMPALFGMAG&utm_source=GMB&utm_medium=Local&y_source=1_MTU1MjIzNS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","(801) 250-6743","","{""Friday"":""9 AM–6 PM"",""Monday"":""9 AM–6 PM"",""Saturday"":""Closed"",""Sunday"":""Closed"",""Thursday"":""9 AM–6 PM"",""Tuesday"":""9 AM–6 PM"",""Wednesday"":""9 AM–6 PM""}","Closed ⋅ Opens 9 AM Mon",13,4.4,"https://lh5.googleusercontent.com/p/AF1QipObkWO_QQHtrk7UZhSv-qSRnnZEA_iHkIuQ5uO-=w122-h92-k-no","https://search.google.com/local/reviews?placeid=ChIJOw0XFbKSUocRB4G5yfnH8_M&q=Insurance+company,+7105,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Farmers%20Insurance%20-%20John%20Paris/data=!4m7!3m6!1s0x875292b215170d3b:0xf3f3c7f9c9b98107!8m2!3d40.6961856!4d-112.0609358!16s/g/1w15zy27!19sChIJOw0XFbKSUocRB4G5yfnH8_M?authuser=0&hl=en&rclk=1",40.6961856,-112.0609358,"ChIJOw0XFbKSUocRB4G5yfnH8_M","US","","null","null","",""
"Kroger Bakery","Bakery","26233 Hoover Rd, Warren, MI 48089","https://www.kroger.com/","(586) 754-5562","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","{""Friday"":""6 AM–12 AM"",""Monday"":""6 AM–12 AM"",""Saturday"":""6 AM–12 AM"",""Sunday"":""6 AM–12 AM"",""Thursday"":""6 AM–12 AM"",""Tuesday"":""6 AM–12 AM"",""Wednesday"":""6 AM–12 AM""}","Closed ⋅ Opens 6 AM",16,3.8,"https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MBaShvgX6_yodNTptnfoMA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=251.76024&pitch=0&thumbfov=100","https://search.google.com/local/reviews?placeid=ChIJ1x1B8qTQJIgRg2tiFMMmV48&q=Bakery,+48088,+US&authuser=0&hl=en&gl=US","https://www.google.com/maps/place/Kroger%20Bakery/data=!4m7!3m6!1s0x8824d0a4f2411dd7:0x8f5726c314626b83!8m2!3d42.4868218!4d-83.0077894!16s/g/11b6g875zb!19sChIJ1x1B8qTQJIgRg2tiFMMmV48?authuser=0&hl=en&rclk=1",42.4868218,-83.0077894,"ChIJ1x1B8qTQJIgRg2tiFMMmV48","US","","null","null","",""
